Area,County FIPS,Age-Adjusted Rate per 100,0,Lower CI,Upper CI,Count
"Wood, Texas",48499,456.4,433.5,480.4,1806,
"Lee, Texas",48287,455.8,416.5,498.1,535,
"Mitchell, Texas",48335,455.7,395.9,522.4,214,
"Dickens, Texas",48125,455.2,346.3,589.9,68,
"Panola, Texas",48365,454.7,420.8,490.7,723,
"Angelina, Texas",48005,454.3,436,473.3,2409,
"Bastrop, Texas",48021,453.6,434.6,473.2,2328,
"Fisher, Texas",48151,453,370.8,549.3,130,
"Wheeler, Texas",48483,453,383.1,532.9,162,
"Nolan, Texas",48353,452.2,409.3,498.7,432,
"Ellis, Texas",48139,451.9,438.1,466,4272,
"Trinity, Texas",48455,451.8,410.6,496.4,555,
"Tom Green, Texas",48451,451.2,434.8,468,3042,
"Taylor, Texas",48441,451.2,435.6,467.2,3325,
"Clay, Texas",48077,450.5,402.7,503.2,367,
"Hardin, Texas",48199,450.2,427.8,473.5,1604,
"Matagorda, Texas",48321,449.9,421.8,479.4,1032,
"Victoria, Texas",48469,449.8,431.5,468.7,2411,
"Somervell, Texas",48425,447.5,393.6,507.3,270,
"Wilbarger, Texas",48487,443.4,396.5,494.7,353,
"Burleson, Texas",48051,442.7,405.7,482.5,597,
"Stephens, Texas",48429,442.5,390.3,500.2,285,
"Grimes, Texas",48185,442,411.5,474.4,839,
"McLennan, Texas",48309,441.8,430.5,453.3,6110,
"Brown, Texas",48049,441.3,415.2,468.7,1160,
"Freestone, Texas",48161,441.2,405.6,479.3,609,
"San Patricio, Texas",48409,440.9,419.5,463.1,1657,
"Runnels, Texas",48399,440,391,493.9,321,
